Tweets Ago,Account,Date,Positive,Neutral,Negative,Compound,Text
96,BBCWorld,Wed Mar 14 08:02:30 +0000 2018,0.0,0.328,0.672,-0.5994,Philippines drugs war: Duterte to withdraw from ICC https://t.co/iT3iAYg18n
97,BBCWorld,Wed Mar 14 08:02:30 +0000 2018,0.237,0.0,0.763,0.4215,Dog dies in overhead locker on United Airlines plane https://t.co/FhZnMfuvGa
98,BBCWorld,Wed Mar 14 07:13:09 +0000 2018,0.0,0.0,1.0,0.0,"March 14: 

- Stephen Hawking dies 
- World Pi Day 𝜋 
- Albert Einstein's birthday 

https://t.co/TGH4jgxjUm 

Obit… https://t.co/Aiih5L5UDU"
99,BBCWorld,Wed Mar 14 07:05:01 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCNews: 𝜋 

Rest among the stars, Stephen Hawking https://t.co/GjAyYisjyR 

He was a symbol of human endurance: https://t.co/V9oShfv5El"
100,BBCWorld,Wed Mar 14 06:55:18 +0000 2018,0.244,0.092,0.664,0.4767,"""Be curious and however difficult life may seem, there is always something you can do and succeed at.

It matters t… https://t.co/TI6e8NpUa8"
1,CBSNews,Thu Mar 15 15:21:29 +0000 2018,0.107,0.0,0.893,0.2023,Treasury Department announces new sanctions against Russian persons and entities the U.S. government believes helpe… https://t.co/Rxrq03YfdM
2,CBSNews,Thu Mar 15 15:13:56 +0000 2018,0.12,0.0,0.88,0.1531,"""There will always be change and I think you want to see change and I want to also see different ideas,"" President… https://t.co/H2iaEkzDJB"
3,CBSNews,Thu Mar 15 15:12:18 +0000 2018,0.205,0.0,0.795,0.5994,"""It certainly looks like the Russians were behind it. Something that should never ever happen and we're taking it v… https://t.co/nZeMthUQPI"
4,CBSNews,Thu Mar 15 15:09:55 +0000 2018,0.127,0.0,0.873,0.4404,MOMENTS AGO: President Trump is welcoming Prime Minister Leo Varadkar of Ireland to the White House ahead of St. Pa… https://t.co/5NniZuPtb8
5,CBSNews,Thu Mar 15 15:05:38 +0000 2018,0.0,0.103,0.897,-0.34,An NYPD truck caught fire while setting up for New York City's St. Patrick's Day Parade in the city's bustling Colu… https://t.co/E32MPnEAOP
